br1	br2	counter	inner	outer	nop	nop2	task_clock	context_switches	cpu_migrations	page_faults	cycles	instructions	branches	branch_misses	L1_dcache_loads	L1_dcache_load_misses	LLC_loads	LLC_load_misses	L1_icache_loads	L1_icache_load_misses	dTLB_loads	dTLB_load_misses	iTLB_loads	iTLB_load_misses	L1_dcache_prefetches	L1_dcache_prefetch_misses
1908	1916	2147483648	1	32768	0	0	2394.95	0	0	46	4295248371	12883324619	NA	2809	46948	2397	NA	NA	4294497508	2779	NA	214	NA	199	NA	NA
1908	1920	2147483648	1	32768	0	1	3590.87	0	0	46	6443804072	15030855834	NA	2736	50818	2789	NA	NA	6442819556	1977	NA	203	NA	152	NA	NA
1908	1924	2147483648	1	32768	0	2	3590.70	0	0	46	6442556323	17178141077	NA	2565	50641	2402	NA	NA	6442711032	2753	NA	230	NA	166	NA	NA
1908	1928	2147483648	1	32768	0	3	4787.47	0	0	46	8589845603	19325762699	NA	2667	51113	3076	NA	NA	6442164884	2810	NA	0	NA	1	NA	NA
1908	1932	2147483648	1	32768	0	4	5984.27	0	0	46	10738241454	21474797287	NA	2329	50978	2837	NA	NA	6442276169	2867	NA	216	NA	174	NA	NA
1908	1936	2147483648	1	32768	0	5	7181.32	0	0	46	12885462578	23621351912	NA	2380	46737	2816	NA	NA	8589822274	2771	NA	241	NA	196	NA	NA
1908	1940	2147483648	1	32768	0	6	8408.79	0	0	46	15029706194	25762310354	NA	2720	46818	2409	NA	NA	8590578382	2725	NA	205	NA	162	NA	NA
1908	1944	2147483648	1	32768	0	7	9571.51	0	0	46	17179583488	27916142566	NA	2733	50721	2855	NA	NA	8589857710	1994	NA	0	NA	159	NA	NA
1908	1948	2147483648	1	32768	0	8	10767.22	0	0	46	19327835170	30063858839	NA	2728	51037	2766	NA	NA	8589934696	2784	NA	0	NA	3	NA	NA
1912	1920	2147483648	1	32768	1	0	3623.81	0	0	46	6439715648	12876808175	NA	2732	50959	2634	NA	NA	6443997508	2691	NA	227	NA	154	NA	NA
1912	1924	2147483648	1	32768	1	1	3589.86	0	0	47	6442323135	15031003567	NA	2808	51273	2430	NA	NA	6442827890	2834	NA	220	NA	172	NA	NA
1912	1928	2147483648	1	32768	1	2	3589.89	0	0	46	6442289665	17178070123	NA	2753	50953	2783	NA	NA	6442882414	2104	NA	212	NA	142	NA	NA
1912	1932	2147483648	1	32768	1	3	4787.80	0	0	46	8591465522	19324452658	NA	2660	50801	2777	NA	NA	6441979163	2868	NA	1	NA	3	NA	NA
1912	1936	2147483648	1	32768	1	4	5982.51	0	0	46	10738017437	21473523265	NA	2696	50975	2876	NA	NA	8589662281	2792	NA	0	NA	0	NA	NA
1912	1940	2147483648	1	32768	1	5	7178.70	0	0	47	12884934349	23620825419	NA	2206	46363	2767	NA	NA	8589881344	2799	NA	227	NA	153	NA	NA
1912	1944	2147483648	1	32768	1	6	8375.16	0	0	46	15032079311	25768346134	NA	2803	51466	2302	NA	NA	8590280821	2882	NA	229	NA	177	NA	NA
1912	1948	2147483648	1	32768	1	7	9606.18	0	0	46	17179281050	27917503913	NA	2719	50867	2683	NA	NA	8590439570	2014	NA	5	NA	202	NA	NA
